"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Kaua'i Island",1000,"interpolated",1,0.994,6.822,6.641,7.004,10
"Kaua'i Island",1000,"interpolated",2,0.994,3.479,3.385,3.573,10
"Maui Nui",1000,"interpolated",0,0.997,21.601,21.139,22.062,10
"Maui Nui",1000,"interpolated",1,0.997,7.388,7.265,7.511,10
"Maui Nui",1000,"interpolated",2,0.997,4.62,4.529,4.711,10
"O'ahu Island",1000,"interpolated",0,0.996,15.406,14.895,15.916,10
"O'ahu Island",1000,"interpolated",1,0.996,3.727,3.656,3.797,10
"O'ahu Island",1000,"interpolated",2,0.996,2.413,2.371,2.455,10
"Hawai'i Island",1000,"interpolated",0,0.999,13.884,13.634,14.134,11
"Hawai'i Island",1000,"interpolated",1,0.999,5.047,4.966,5.127,11
"Hawai'i Island",1000,"interpolated",2,0.999,3.272,3.207,3.337,11
"Kaua'i Island",1000,"interpolated",0,0.995,28.762,28.174,29.351,11
"Kaua'i Island",1000,"interpolated",1,0.995,7.748,7.591,7.904,11
"Kaua'i Island",1000,"interpolated",2,0.995,5.183,5.098,5.267,11
"Maui Nui",1000,"interpolated",0,0.999,12.605,12.46,12.75,11
"Maui Nui",1000,"interpolated",1,0.999,3.727,3.662,3.791,11
"Maui Nui",1000,"interpolated",2,0.999,2.31,2.273,2.347,11
"O'ahu Island",1000,"interpolated",0,0.998,13.607,13.206,14.009,11
"O'ahu Island",1000,"interpolated",1,0.998,4.496,4.43,4.562,11
"O'ahu Island",1000,"interpolated",2,0.998,3.134,3.081,3.188,11
"Hawai'i Island",1000,"interpolated",0,0.999,12.424,12.197,12.651,12
"Hawai'i Island",1000,"interpolated",1,0.999,5.3,5.221,5.379,12
"Hawai'i Island",1000,"interpolated",2,0.999,3.971,3.909,4.032,12
"Kaua'i Island",1000,"interpolated",0,0.993,33.701,32.917,34.486,12
"Kaua'i Island",1000,"interpolated",1,0.993,7.204,7.028,7.38,12
"Kaua'i Island",1000,"interpolated",2,0.993,4.495,4.403,4.587,12
"Maui Nui",1000,"interpolated",0,0.999,11.511,11.35,11.672,12
"Maui Nui",1000,"interpolated",1,0.999,3.812,3.756,3.869,12
"Maui Nui",1000,"interpolated",2,0.999,2.61,2.57,2.649,12
"O'ahu Island",1000,"interpolated",0,0.997,12.559,12.047,13.072,12
"O'ahu Island",1000,"interpolated",1,0.997,4.271,4.217,4.325,12
"O'ahu Island",1000,"interpolated",2,0.997,3.034,2.979,3.09,12
"Hawai'i Island",1000,"interpolated",0,0.999,11.251,11.082,11.419,13
"Hawai'i Island",1000,"interpolated",1,0.999,3.571,3.523,3.619,13
"Hawai'i Island",1000,"interpolated",2,0.999,2.081,2.057,2.105,13
"Kaua'i Island",1000,"interpolated",0,0.993,27.472,26.785,28.159,13
"Kaua'i Island",1000,"interpolated",1,0.993,7.06,6.931,7.189,13
"Kaua'i Island",1000,"interpolated",2,0.993,4.862,4.792,4.933,13
"Maui Nui",1000,"interpolated",0,0.999,10.956,10.745,11.166,13
"Maui Nui",1000,"interpolated",1,0.999,3.883,3.842,3.925,13
"Maui Nui",1000,"interpolated",2,0.999,2.976,2.942,3.009,13
"O'ahu Island",1000,"interpolated",0,0.997,12.123,11.697,12.549,13
"O'ahu Island",1000,"interpolated",1,0.997,4.582,4.519,4.645,13
"O'ahu Island",1000,"interpolated",2,0.997,3.251,3.193,3.309,13
"Hawai'i Island",1000,"interpolated",0,1,10.837,10.765,10.909,14
"Hawai'i Island",1000,"interpolated",1,1,3.414,3.357,3.472,14
"Hawai'i Island",1000,"interpolated",2,1,2.12,2.085,2.154,14
"Kaua'i Island",1000,"interpolated",0,0.996,24.151,23.629,24.672,14
"Kaua'i Island",1000,"interpolated",1,0.996,5.755,5.628,5.882,14
"Kaua'i Island",1000,"interpolated",2,0.996,3.681,3.62,3.741,14
"Maui Nui",1000,"interpolated",0,0.997,18.6,18.115,19.084,14
"Maui Nui",1000,"interpolated",1,0.997,5.461,5.366,5.557,14
"Maui Nui",1000,"interpolated",2,0.997,3.485,3.429,3.541,14
"O'ahu Island",1000,"interpolated",0,0.997,21.952,21.481,22.423,14
"O'ahu Island",1000,"interpolated",1,0.997,7.617,7.487,7.747,14
"O'ahu Island",1000,"interpolated",2,0.997,5.738,5.647,5.828,14
"Hawai'i Island",1000,"interpolated",0,0.999,9.253,9.051,9.455,15
"Hawai'i Island",1000,"interpolated",1,0.999,3.111,3.072,3.15,15
"Hawai'i Island",1000,"interpolated",2,0.999,2.183,2.156,2.21,15
"Kaua'i Island",1000,"interpolated",0,0.995,29.646,28.949,30.344,15
"Kaua'i Island",1000,"interpolated",1,0.995,8.12,7.939,8.301,15
"Kaua'i Island",1000,"interpolated",2,0.995,5.219,5.114,5.324,15
"Maui Nui",1000,"interpolated",0,0.999,11.113,10.883,11.343,15
"Maui Nui",1000,"interpolated",1,0.999,4.722,4.665,4.778,15
"Maui Nui",1000,"interpolated",2,0.999,3.73,3.683,3.777,15
"O'ahu Island",1000,"interpolated",0,0.997,17.35,17.017,17.684,15
"O'ahu Island",1000,"interpolated",1,0.997,4.403,4.329,4.478,15
"O'ahu Island",1000,"interpolated",2,0.997,2.942,2.889,2.995,15
"Hawai'i Island",1000,"interpolated",0,0.999,10.706,10.584,10.828,16
"Hawai'i Island",1000,"interpolated",1,0.999,3.197,3.15,3.243,16
"Hawai'i Island",1000,"interpolated",2,0.999,2.311,2.273,2.35,16
"Kaua'i Island",1000,"interpolated",0,0.993,34.515,33.76,35.27,16
"Kaua'i Island",1000,"interpolated",1,0.993,8.485,8.297,8.672,16
