"Iteration","geo_entity2","PlotID","Plot_Area"
44,"Maui Nui",348,672.45
44,"Maui Nui",439,336.23
44,"Maui Nui",299,672.45
44,"Maui Nui",25,1000
44,"Maui Nui",452,672.45
44,"Maui Nui",345,672.45
44,"Maui Nui",294,1000
44,"Maui Nui",350,672.45
44,"Maui Nui",442,336.23
45,"Maui Nui",20,1000
45,"Maui Nui",176,1000
45,"Maui Nui",358,504.34
45,"Maui Nui",459,168.11
45,"Maui Nui",25,1000
45,"Maui Nui",222,1000
45,"Maui Nui",37,1000
45,"Maui Nui",357,504.34
45,"Maui Nui",377,168.11
45,"Maui Nui",180,1000
46,"Maui Nui",350,672.45
46,"Maui Nui",459,168.11
46,"Maui Nui",442,336.23
46,"Maui Nui",20,1000
46,"Maui Nui",178,1000
46,"Maui Nui",35,1000
46,"Maui Nui",378,672.45
46,"Maui Nui",180,1000
46,"Maui Nui",34,1000
46,"Maui Nui",439,336.23
47,"Maui Nui",442,336.23
47,"Maui Nui",35,1000
47,"Maui Nui",299,672.45
47,"Maui Nui",176,1000
47,"Maui Nui",357,504.34
47,"Maui Nui",37,1000
47,"Maui Nui",515,168.11
47,"Maui Nui",29,1000
47,"Maui Nui",142,1000
47,"Maui Nui",358,504.34
48,"Maui Nui",35,1000
48,"Maui Nui",37,1000
48,"Maui Nui",349,504.34
48,"Maui Nui",452,672.45
48,"Maui Nui",378,672.45
48,"Maui Nui",357,504.34
48,"Maui Nui",358,504.34
48,"Maui Nui",178,1000
48,"Maui Nui",25,1000
48,"Maui Nui",439,336.23
49,"Maui Nui",350,672.45
49,"Maui Nui",30,1000
49,"Maui Nui",176,1000
49,"Maui Nui",459,168.11
49,"Maui Nui",345,672.45
49,"Maui Nui",142,1000
49,"Maui Nui",44,1000
49,"Maui Nui",294,1000
49,"Maui Nui",378,672.45
49,"Maui Nui",349,504.34
50,"Maui Nui",37,1000
50,"Maui Nui",29,1000
50,"Maui Nui",442,336.23
50,"Maui Nui",357,504.34
50,"Maui Nui",515,168.11
50,"Maui Nui",178,1000
50,"Maui Nui",452,672.45
50,"Maui Nui",30,1000
50,"Maui Nui",348,672.45
50,"Maui Nui",378,672.45
51,"Maui Nui",525,504.34
51,"Maui Nui",442,336.23
51,"Maui Nui",29,1000
51,"Maui Nui",343,504.34
51,"Maui Nui",439,336.23
51,"Maui Nui",348,672.45
51,"Maui Nui",179,1000
51,"Maui Nui",299,672.45
51,"Maui Nui",180,1000
51,"Maui Nui",177,1000
52,"Maui Nui",180,1000
52,"Maui Nui",35,1000
52,"Maui Nui",30,1000
52,"Maui Nui",357,504.34
52,"Maui Nui",294,1000
52,"Maui Nui",299,672.45
52,"Maui Nui",459,168.11
52,"Maui Nui",222,1000
52,"Maui Nui",515,168.11
52,"Maui Nui",219,1000
53,"Maui Nui",439,336.23
53,"Maui Nui",219,1000
53,"Maui Nui",34,1000
53,"Maui Nui",142,1000
53,"Maui Nui",178,1000
53,"Maui Nui",343,504.34
53,"Maui Nui",459,168.11
53,"Maui Nui",299,672.45
53,"Maui Nui",378,672.45
53,"Maui Nui",222,1000
54,"Maui Nui",178,1000
54,"Maui Nui",142,1000
54,"Maui Nui",357,504.34
54,"Maui Nui",377,168.11
54,"Maui Nui",179,1000
54,"Maui Nui",358,504.34
54,"Maui Nui",343,504.34
54,"Maui Nui",525,504.34
54,"Maui Nui",222,1000
54,"Maui Nui",35,1000
55,"Maui Nui",349,504.34
55,"Maui Nui",142,1000
55,"Maui Nui",378,672.45
55,"Maui Nui",439,336.23
55,"Maui Nui",176,1000
55,"Maui Nui",44,1000
55,"Maui Nui",515,168.11
55,"Maui Nui",35,1000
55,"Maui Nui",219,1000
55,"Maui Nui",452,672.45
56,"Maui Nui",29,1000
56,"Maui Nui",515,168.11
56,"Maui Nui",377,168.11
56,"Maui Nui",180,1000
56,"Maui Nui",299,672.45
56,"Maui Nui",294,1000
56,"Maui Nui",30,1000
56,"Maui Nui",177,1000
56,"Maui Nui",378,672.45
56,"Maui Nui",357,504.34
57,"Maui Nui",357,504.34
57,"Maui Nui",222,1000
57,"Maui Nui",29,1000
57,"Maui Nui",442,336.23
57,"Maui Nui",299,672.45
57,"Maui Nui",525,504.34
57,"Maui Nui",219,1000
57,"Maui Nui",439,336.23
57,"Maui Nui",142,1000
57,"Maui Nui",179,1000
58,"Maui Nui",515,168.11
58,"Maui Nui",356,504.34
58,"Maui Nui",350,672.45
58,"Maui Nui",175,1000
58,"Maui Nui",459,168.11
58,"Maui Nui",294,1000
58,"Maui Nui",37,1000
58,"Maui Nui",180,1000
58,"Maui Nui",29,1000
58,"Maui Nui",452,672.45
59,"Maui Nui",439,336.23
59,"Maui Nui",180,1000
59,"Maui Nui",350,672.45
59,"Maui Nui",37,1000
59,"Maui Nui",377,168.11
59,"Maui Nui",178,1000
59,"Maui Nui",222,1000
59,"Maui Nui",515,168.11
59,"Maui Nui",356,504.34
