"geo_entity2","SPP_CODE3A","RelAbund","Rank","Rank_N","RankN_pred"
"33","Maui Nui","COPFOL",0.00112624744145962,33,0.568965517241379,0.563425276648863
"34","Maui Nui","PSYHAW",0.00116052453750404,34,0.586206896551724,0.568250976900396
"35","Maui Nui","PSYSPP",0.00117521472152308,35,0.603448275862069,0.570287887743025
"36","Maui Nui","VACDEN",0.00137108384177692,36,0.620689655172414,0.595708347883211
"37","Maui Nui","SADPAL",0.00156695296203077,37,0.637931034482759,0.618119536770226
"38","Maui Nui","ERYSAN",0.00205662576266539,38,0.655172413793103,0.663614997599625
"39","Maui Nui","MELCLU",0.00205662576266539,39,0.672413793103448,0.663614997599625
"40","Maui Nui","DODVIS",0.00225249488291923,40,0.689655172413793,0.678548677166501
"41","Maui Nui","MYRLES",0.00356971471662635,41,0.706896551724138,0.75167623523655
"42","Maui Nui","BROARG",0.00377537729289289,42,0.724137931034483,0.760413295253521
"43","Maui Nui","CHEFOR",0.00377537729289289,43,0.741379310344828,0.760413295253521
"44","Maui Nui","XYLHAW",0.00377537729289289,44,0.758620689655172,0.760413295253521
"45","Maui Nui","SADSOU",0.00391738240507693,45,0.775862068965517,0.766165904527388
"46","Maui Nui","PSYODO",0.00397124641314674,46,0.793103448275862,0.768292352089925
"47","Maui Nui","HEDHIL",0.00494079855840327,47,0.810344827586207,0.802120834914544
"48","Maui Nui","ILEANO",0.00494569528640962,48,0.827586206896552,0.802272987288705
"49","Maui Nui","NESSAN",0.00724226072138597,49,0.844827586206897,0.858425700527878
"50","Maui Nui","ANTPLA",0.00794249282629347,50,0.862068965517241,0.870796481712741
"51","Maui Nui","ACAKOA",0.0080306339304077,51,0.879310344827586,0.87223096483797
"52","Maui Nui","STYTAM",0.00812856849053462,52,0.896551724137931,0.873794718888355
"53","Maui Nui","DIOSAN",0.010327199365384,53,0.913793103448276,0.901914851789846
"54","Maui Nui","SADCYA",0.0127314928165,54,0.931034482758621,0.921656156571573
"55","Maui Nui","CIBGLA",0.0803944804081912,55,0.948275862068966,0.963824384530642
"56","Maui Nui","CHETRI",0.110935372983772,56,0.96551724137931,0.966725908411622
"57","Maui Nui","CIBMEN",0.231904141652548,57,0.982758620689655,0.981615418320289
"58","Maui Nui","METPOL",0.467382894749728,58,1,0.99792431830535
"59","Hawai'i Island","CLEPAR",1.28299708118164e-05,1,0.0178571428571429,0.0715972922345874
"60","Hawai'i Island","COLOPP",1.28299708118164e-05,2,0.0357142857142857,0.0715972922345874
"61","Hawai'i Island","MELVOL",1.28299708118164e-05,3,0.0535714285714286,0.0715972922345874
"62","Hawai'i Island","PISSAN",1.28299708118164e-05,4,0.0714285714285714,0.0715972922345874
"63","Hawai'i Island","PLEHAW",1.28299708118164e-05,5,0.0892857142857143,0.0715972922345874
"64","Hawai'i Island","POUSAN",1.28299708118164e-05,6,0.107142857142857,0.0715972922345874
"65","Hawai'i Island","REYSAN",1.28299708118164e-05,7,0.125,0.0715972922345874
"66","Hawai'i Island","KADAFF",2.56599416236328e-05,8,0.142857142857143,0.144065378639486
"67","Hawai'i Island","VACRET",2.56599416236328e-05,9,0.160714285714286,0.144065378639486
"68","Hawai'i Island","OSTANT",3.84899124354492e-05,10,0.178571428571429,0.1884080034592
"69","Hawai'i Island","FREARB",5.0036886166084e-05,11,0.196428571428571,0.218007104723962
"70","Hawai'i Island","KADSPP",5.13198832472656e-05,12,0.214285714285714,0.220891142642338
"71","Hawai'i Island","SANPAN",6.4149854059082e-05,13,0.232142857142857,0.246394781396909
"72","Hawai'i Island","WIKSAN",6.4149854059082e-05,14,0.25,0.246394781396909
"73","Hawai'i Island","PRIMUN",7.56968277897168e-05,15,0.267857142857143,0.26524589169121
"74","Hawai'i Island","PSYKAD",7.56968277897168e-05,16,0.285714285714286,0.26524589169121
"75","Hawai'i Island","PITHOS",8.98097956827148e-05,17,0.303571428571429,0.284466678020844
"76","Hawai'i Island","WIKSPP",0.000150110658498252,18,0.321428571428571,0.339499760004528
"77","Hawai'i Island","PRITSPP",0.000151393655579434,19,0.339285714285714,0.340368667793619
"78","Hawai'i Island","PIPALB",0.00017961959136543,20,0.357142857142857,0.357503914495154
"79","Hawai'i Island","DODVIS",0.000192449562177246,21,0.375,0.364262323078039
"80","Hawai'i Island","SADSPP",0.000251467427911602,22,0.392857142857143,0.389895696810774
"81","Hawai'i Island","TETHAW",0.000278410366616416,23,0.410714285714286,0.399543426883625
"82","Hawai'i Island","COPOCH",0.000293806331590596,24,0.428571428571429,0.404650501354686
"83","Hawai'i Island","TOULAT",0.000513198832472656,25,0.446428571428571,0.459602990755145
"84","Hawai'i Island","SOPCHR",0.000701799403406357,26,0.464285714285714,0.493804910421312
"85","Hawai'i Island","NESSAN",0.000846778073579883,27,0.482142857142857,0.516005141994472
"86","Hawai'i Island","CIBSPP",0.000871155018122334,28,0.5,0.519478790141649
"87","Hawai'i Island","SADCYA",0.000923757898450781,29,0.517857142857143,0.526754077776917
"88","Hawai'i Island","COPLON",0.00106488757738076,30,0.535714285714286,0.544932753134787
"89","Hawai'i Island","HEDHIL",0.00106488757738076,31,0.553571428571429,0.544932753134787
"90","Hawai'i Island","CHEOAH",0.00114186740225166,32,0.571428571428571,0.554118477279179
"91","Hawai'i Island","MELKAA",0.00114443339641402,33,0.589285714285714,0.554416585682829
"92","Hawai'i Island","STYTAM",0.0014882766141707,34,0.607142857142857,0.590299785849744
"93","Hawai'i Island","HIBTIL",0.00175514000705648,35,0.625,0.613605273084437
"94","Hawai'i Island","PERSAN",0.00215543509638516,36,0.642857142857143,0.643102899089946
"95","Hawai'i Island","MYRSPP",0.00285466850562915,37,0.660714285714286,0.683592165827806
"96","Hawai'i Island","MYOSAN",0.00329986849279918,38,0.678571428571429,0.704246438666658
"97","Hawai'i Island","ANTPLA",0.00331013246944863,39,0.696428571428571,0.704685824902814
"98","Hawai'i Island","CIBCHA",0.00338711229431953,40,0.714285714285714,0.707933487932519
"99","Hawai'i Island","PSYODO",0.0037245405266703,41,0.732142857142857,0.721247260664023
"100","Hawai'i Island","MYRSAN",0.00495878371876704,42,0.75,0.760085346197188
"101","Hawai'i Island","MELCLU",0.0055348494082176,43,0.767857142857143,0.774343699622367
"102","Hawai'i Island","PSYSPP",0.00600186034576771,44,0.785714285714286,0.784574184041915
"103","Hawai'i Island","BROARG",0.00601212432241717,45,0.803571428571429,0.784787281715278
"104","Hawai'i Island","COPSPP",0.00680245052442506,46,0.821428571428571,0.799881578703275
"105","Hawai'i Island","MYRLES",0.00851011963947782,47,0.839285714285714,0.825618709132876
"106","Hawai'i Island","DIOSAN",0.0106180838438593,48,0.857142857142857,0.848854734694166
"107","Hawai'i Island","PANTEC",0.0187471533502261,49,0.875,0.89835921783238
"108","Hawai'i Island","ILEANO",0.0205407832697181,50,0.892857142857143,0.904982265146046
"109","Hawai'i Island","PSYHAW",0.0211797158161465,51,0.910714285714286,0.9071226873438
"110","Hawai'i Island","ACAKOA",0.0251377618115919,52,0.928571428571429,0.918383129484324
"111","Hawai'i Island","CHETRI",0.0458761266318119,53,0.946428571428571,0.949697506658755
"112","Hawai'i Island","CIBMEN",0.0462020078904321,54,0.964285714285714,0.950002111042256
"113","Hawai'i Island","CIBGLA",0.176879109600026,55,0.982142857142857,0.988457804752504
"114","Hawai'i Island","METPOL",0.56460339352728,56,1,1.00199975892976
"115","Kaua'i Island","BOBBRE",0.000502739932632849,1,0.0227272727272727,0.111442726643356
"116","Kaua'i Island","CHEPLA",0.000502739932632849,2,0.0454545454545455,0.111442726643356
"117","Kaua'i Island","COPOCH",0.000502739932632849,3,0.0681818181818182,0.111442726643356
"118","Kaua'i Island","CYAHIR",0.000502739932632849,4,0.0909090909090909,0.111442726643356
"119","Kaua'i Island","MELANI",0.000502739932632849,5,0.113636363636364,0.111442726643356
"120","Kaua'i Island","PLEAUR",0.000502739932632849,6,0.136363636363636,0.111442726643356
"121","Kaua'i Island","SOPCHR",0.000502739932632849,7,0.159090909090909,0.111442726643356
"122","Kaua'i Island","WIKFUR",0.000502739932632849,8,0.181818181818182,0.111442726643356
"123","Kaua'i Island","XYLHAW",0.000502739932632849,9,0.204545454545455,0.111442726643356
"124","Kaua'i Island","ALPPON",0.0010054798652657,10,0.227272727272727,0.285757141419622
"125","Kaua'i Island","CYRLON",0.0010054798652657,11,0.25,0.285757141419622
"126","Kaua'i Island","ILEANO",0.0010054798652657,12,0.272727272727273,0.285757141419622
"127","Kaua'i Island","KADACU",0.0010054798652657,13,0.295454545454545,0.285757141419622
"128","Kaua'i Island","PSYKAD",0.0010054798652657,14,0.318181818181818,0.285757141419622
"129","Kaua'i Island","CHACEL",0.00150821979789855,15,0.340909090909091,0.393154406149946
"130","Kaua'i Island","COPWAI",0.00150821979789855,16,0.363636363636364,0.393154406149946
"131","Kaua'i Island","PSYGRA",0.00150821979789855,17,0.386363636363636,0.393154406149946
"132","Kaua'i Island","SAPOAH",0.00150821979789855,18,0.409090909090909,0.393154406149946
"133","Kaua'i Island","SYZSAN",0.00150821979789855,19,0.431818181818182,0.393154406149946
"134","Kaua'i Island","WIKOAH",0.00150821979789855,20,0.454545454545455,0.393154406149946
"135","Kaua'i Island","SANFRE",0.0020109597305314,21,0.477272727272727,0.469915342972505
"136","Kaua'i Island","COPFOL",0.00251369966316425,22,0.5,0.52769536736294
"137","Kaua'i Island","PSYGRE",0.00251369966316425,23,0.522727272727273,0.52769536736294
"138","Kaua'i Island","PANTEC",0.00296616560253381,24,0.545454545454545,0.568598705876379
"139","Kaua'i Island","ALYSTE",0.00301643959579709,25,0.568181818181818,0.572634318765817
"140","Kaua'i Island","CLASAN",0.00301643959579709,26,0.590909090909091,0.572634318765817
"141","Kaua'i Island","MYRLES",0.00351917952842994,27,0.613636363636364,0.60850097315508
"142","Kaua'i Island","ANTPLA",0.00402191946106279,28,0.636363636363636,0.637779362119336
"143","Kaua'i Island","BROARG",0.00402191946106279,29,0.659090909090909,0.637779362119336
"144","Kaua'i Island","KADAFF",0.00402191946106279,30,0.681818181818182,0.637779362119336
"145","Kaua'i Island","NESSAN",0.00653561912422704,31,0.704545454545455,0.728899447462756
"146","Kaua'i Island","ERYSAN",0.00703835905685989,32,0.727272727272727,0.74059345901011
"147","Kaua'i Island","MELCLU",0.00703835905685989,33,0.75,0.74059345901011
"148","Kaua'i Island","MELBAR",0.00804383892212559,34,0.772727272727273,0.760175483816343
"149","Kaua'i Island","STYTAM",0.00854657885475843,35,0.795454545454545,0.768457888640564
"150","Kaua'i Island","DIOHIL",0.0150821979789855,36,0.818181818181818,0.831365540170383
"151","Kaua'i Island","PSYMA2",0.0180986375747826,37,0.840909090909091,0.847596316014624
"152","Kaua'i Island","DODVIS",0.0246342566990096,38,0.863636363636364,0.872309999144792
"153","Kaua'i Island","MYRSPP",0.0387612488059927,39,0.886363636363636,0.902997364397758
"154","Kaua'i Island","WIKSPP",0.0387612488059927,40,0.909090909090909,0.902997364397758
"155","Kaua'i Island","CHETRI",0.0447438540043236,41,0.931818181818182,0.911288583655724
"156","Kaua'i Island","HIBTIL",0.164144588004625,42,0.954545454545455,0.966341094184864
"157","Kaua'i Island","METPOL",0.28037806042934,43,0.977272727272727,0.986820370105733
"158","Kaua'i Island","ACAKOA",0.287969433412096,44,1,0.987854465586367
"159","O'ahu Island","CYASPP",0.000413907284768212,1,0.037037037037037,0.110005200089762
"160","O'ahu Island","ILEANO",0.000413907284768212,2,0.0740740740740741,0.110005200089762
"161","O'ahu Island","MYRLAN",0.000413907284768212,3,0.111111111111111,0.110005200089762
"162","O'ahu Island","MYRLES",0.000413907284768212,4,0.148148148148148,0.110005200089762
"163","O'ahu Island","REYSAN",0.000413907284768212,5,0.185185185185185,0.110005200089762
"164","O'ahu Island","PSYHEX",0.000827814569536424,6,0.222222222222222,0.235436384690299
"165","O'ahu Island","SCAGAU",0.000827814569536424,7,0.259259259259259,0.235436384690299
"166","O'ahu Island","ANTPLA",0.00124172185430464,8,0.296296296296296,0.320217854781461
"167","O'ahu Island","POUSAN",0.00124172185430464,9,0.333333333333333,0.320217854781461
"168","O'ahu Island","RAUSAN",0.00165562913907285,10,0.37037037037037,0.396278726942775
"169","O'ahu Island","COPFOL",0.00206953642384106,11,0.407407407407407,0.464682415124724
"170","O'ahu Island","SANFRE",0.00206953642384106,12,0.444444444444444,0.464682415124724
"171","O'ahu Island","WIKOAH",0.00206953642384106,13,0.481481481481481,0.464682415124724
"172","O'ahu Island","SYZSAN",0.00244205298013245,14,0.518518518518518,0.517383624513844
"173","O'ahu Island","KADAFF",0.00248344370860927,15,0.555555555555556,0.522674859876017
"174","O'ahu Island","NESSAN",0.00289735099337748,16,0.592592592592593,0.569538639765499
"175","O'ahu Island","ANTPUL",0.0033112582781457,17,0.62962962962963,0.606417427717148
"176","O'ahu Island","PISSAN",0.00455298013245033,18,0.666666666666667,0.675661364883191
"177","O'ahu Island","STYTAM",0.00455298013245033,19,0.703703703703704,0.675661364883191
"178","O'ahu Island","PSYODO",0.0161423841059603,20,0.740740740740741,0.762497909377527
"179","O'ahu Island","SAPOAH",0.0206953642384106,21,0.777777777777778,0.772757490851359
"180","O'ahu Island","ACAKOA",0.0407284768211921,22,0.814814814814815,0.823579735445495
"181","O'ahu Island","DIOSAN",0.0612582781456954,23,0.851851851851852,0.86671795004064
"182","O'ahu Island","BOBSAN",0.0662665562913907,24,0.888888888888889,0.875493782401835
"183","O'ahu Island","PSYMA2",0.0998758278145695,25,0.925925925925926,0.919997222699055
"184","O'ahu Island","HIBTIL",0.149793046357616,26,0.962962962962963,0.955704214594604
"185","O'ahu Island","METPOL",0.510927152317881,27,1,1.00425396124131
