"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"150",600,"interpolated",0,9.691,9.398,9.984,0.997,0.997,0.997,"Maui Nui","14",13.0201767734012
"151",700,"interpolated",0,9.973,9.666,10.28,0.997,0.997,0.998,"Maui Nui","14",13.2149384140065
"152",800,"interpolated",0,10.204,9.887,10.522,0.998,0.998,0.998,"Maui Nui","14",13.597802941289
"153",900,"interpolated",0,10.399,10.073,10.724,0.998,0.998,0.998,"Maui Nui","14",13.7569744190531
"154",1000,"interpolated",0,10.564,10.232,10.895,0.998,0.998,0.999,"Maui Nui","14",13.9816212777176
"155",1,"interpolated",0,1,1,1,0.24,0.237,0.243,"Maui Nui","15",1.01907652695323
"156",100,"interpolated",0,8.43,8.279,8.582,0.979,0.978,0.98,"Maui Nui","15",8.52406495953037
"157",200,"interpolated",0,10.056,9.847,10.266,0.987,0.987,0.988,"Maui Nui","15",10.3193449282619
"158",300,"interpolated",0,11.122,10.89,11.355,0.991,0.991,0.991,"Maui Nui","15",11.2148972883983
"159",400,"interpolated",0,11.885,11.646,12.124,0.993,0.993,0.994,"Maui Nui","15",12.0736654208794
"160",500,"interpolated",0,12.452,12.214,12.689,0.995,0.995,0.995,"Maui Nui","15",12.4512670505219
"161",600,"interpolated",0,12.882,12.649,13.115,0.996,0.996,0.997,"Maui Nui","15",13.0201767734012
"162",700,"interpolated",0,13.214,12.986,13.442,0.997,0.997,0.997,"Maui Nui","15",13.2149384140065
"163",800,"interpolated",0,13.474,13.25,13.698,0.998,0.997,0.998,"Maui Nui","15",13.597802941289
"164",900,"interpolated",0,13.681,13.46,13.902,0.998,0.998,0.998,"Maui Nui","15",13.7569744190531
"165",1000,"interpolated",0,13.848,13.629,14.066,0.999,0.998,0.999,"Maui Nui","15",13.9816212777176
"166",1,"interpolated",0,1,1,1,0.371,0.364,0.377,"Maui Nui","16",1.01907652695323
"167",100,"interpolated",0,7.006,6.904,7.107,0.981,0.98,0.982,"Maui Nui","16",8.52406495953037
"168",200,"interpolated",0,8.459,8.302,8.616,0.989,0.988,0.989,"Maui Nui","16",10.3193449282619
"169",300,"interpolated",0,9.39,9.189,9.591,0.992,0.992,0.993,"Maui Nui","16",11.2148972883983
"170",400,"interpolated",0,10.062,9.827,10.296,0.994,0.994,0.995,"Maui Nui","16",12.0736654208794
"171",500,"interpolated",0,10.578,10.319,10.837,0.995,0.995,0.996,"Maui Nui","16",12.4512670505219
"172",600,"interpolated",0,10.991,10.715,11.268,0.996,0.996,0.997,"Maui Nui","16",13.0201767734012
"173",700,"interpolated",0,11.331,11.041,11.62,0.997,0.997,0.997,"Maui Nui","16",13.2149384140065
"174",800,"interpolated",0,11.615,11.316,11.914,0.997,0.997,0.998,"Maui Nui","16",13.597802941289
"175",900,"interpolated",0,11.856,11.549,12.162,0.998,0.998,0.998,"Maui Nui","16",13.7569744190531
"176",1000,"interpolated",0,12.062,11.749,12.375,0.998,0.998,0.998,"Maui Nui","16",13.9816212777176
"177",1,"interpolated",0,1,1,1,0.25,0.248,0.252,"Maui Nui","17",1.01907652695323
"178",100,"interpolated",0,7.209,7.057,7.36,0.979,0.977,0.98,"Maui Nui","17",8.52406495953037
"179",200,"interpolated",0,8.888,8.664,9.112,0.987,0.986,0.987,"Maui Nui","17",10.3193449282619
"180",300,"interpolated",0,9.997,9.735,10.259,0.991,0.99,0.991,"Maui Nui","17",11.2148972883983
"181",400,"interpolated",0,10.788,10.503,11.072,0.993,0.993,0.994,"Maui Nui","17",12.0736654208794
"182",500,"interpolated",0,11.375,11.074,11.675,0.995,0.995,0.995,"Maui Nui","17",12.4512670505219
"183",600,"interpolated",0,11.825,11.512,12.138,0.996,0.996,0.996,"Maui Nui","17",13.0201767734012
"184",700,"interpolated",0,12.181,11.858,12.504,0.997,0.997,0.997,"Maui Nui","17",13.2149384140065
"185",800,"interpolated",0,12.469,12.137,12.801,0.997,0.997,0.998,"Maui Nui","17",13.597802941289
"186",900,"interpolated",0,12.708,12.369,13.047,0.998,0.998,0.998,"Maui Nui","17",13.7569744190531
"187",1000,"interpolated",0,12.91,12.564,13.256,0.998,0.998,0.998,"Maui Nui","17",13.9816212777176
"188",1,"interpolated",0,1,1,1,0.376,0.369,0.384,"Maui Nui","18",1.01907652695323
"189",100,"interpolated",0,8.895,8.68,9.11,0.973,0.971,0.974,"Maui Nui","18",8.52406495953037
"190",200,"interpolated",0,10.728,10.461,10.995,0.988,0.987,0.989,"Maui Nui","18",10.3193449282619
"191",300,"interpolated",0,11.643,11.333,11.954,0.993,0.992,0.994,"Maui Nui","18",11.2148972883983
"192",400,"interpolated",0,12.21,11.855,12.565,0.995,0.995,0.996,"Maui Nui","18",12.0736654208794
"193",500,"interpolated",0,12.617,12.22,13.014,0.996,0.996,0.997,"Maui Nui","18",12.4512670505219
"194",600,"interpolated",0,12.941,12.507,13.374,0.997,0.997,0.997,"Maui Nui","18",13.0201767734012
"195",700,"interpolated",0,13.214,12.751,13.676,0.997,0.997,0.998,"Maui Nui","18",13.2149384140065
"196",800,"interpolated",0,13.452,12.966,13.939,0.998,0.998,0.998,"Maui Nui","18",13.597802941289
"197",900,"interpolated",0,13.666,13.162,14.17,0.998,0.998,0.998,"Maui Nui","18",13.7569744190531
"198",1000,"interpolated",0,13.859,13.342,14.376,0.998,0.998,0.998,"Maui Nui","18",13.9816212777176
"199",1,"interpolated",0,1,1,1,0.241,0.236,0.245,"Maui Nui","19",1.01907652695323
"200",100,"interpolated",0,8.569,8.398,8.74,0.978,0.976,0.979,"Maui Nui","19",8.52406495953037
"201",200,"interpolated",0,10.342,10.078,10.606,0.986,0.985,0.986,"Maui Nui","19",10.3193449282619
"202",300,"interpolated",0,11.595,11.273,11.918,0.989,0.989,0.99,"Maui Nui","19",11.2148972883983
"203",400,"interpolated",0,12.554,12.194,12.914,0.992,0.991,0.992,"Maui Nui","19",12.0736654208794
"204",500,"interpolated",0,13.313,12.928,13.699,0.993,0.993,0.994,"Maui Nui","19",12.4512670505219
"205",600,"interpolated",0,13.927,13.525,14.33,0.994,0.994,0.995,"Maui Nui","19",13.0201767734012
"206",700,"interpolated",0,14.432,14.018,14.847,0.995,0.995,0.996,"Maui Nui","19",13.2149384140065
"207",800,"interpolated",0,14.852,14.43,15.275,0.996,0.996,0.996,"Maui Nui","19",13.597802941289
"208",900,"interpolated",0,15.206,14.778,15.633,0.997,0.996,0.997,"Maui Nui","19",13.7569744190531
"209",1000,"interpolated",0,15.505,15.074,15.937,0.997,0.997,0.997,"Maui Nui","19",13.9816212777176
"210",1,"interpolated",0,1,1,1,0.214,0.209,0.218,"Maui Nui","20",1.01907652695323
"211",100,"interpolated",0,10.633,10.495,10.772,0.976,0.976,0.977,"Maui Nui","20",8.52406495953037
"212",200,"interpolated",0,12.243,12.09,12.395,0.989,0.989,0.99,"Maui Nui","20",10.3193449282619
"213",300,"interpolated",0,13.073,12.907,13.239,0.994,0.993,0.994,"Maui Nui","20",11.2148972883983
"214",400,"interpolated",0,13.584,13.401,13.766,0.996,0.996,0.996,"Maui Nui","20",12.0736654208794
"215",500,"interpolated",0,13.935,13.736,14.133,0.997,0.997,0.997,"Maui Nui","20",12.4512670505219
"216",600,"interpolated",0,14.193,13.979,14.407,0.998,0.997,0.998,"Maui Nui","20",13.0201767734012
"217",700,"interpolated",0,14.393,14.164,14.622,0.998,0.998,0.998,"Maui Nui","20",13.2149384140065
"218",800,"interpolated",0,14.552,14.309,14.796,0.999,0.998,0.999,"Maui Nui","20",13.597802941289
"219",900,"interpolated",0,14.683,14.426,14.94,0.999,0.999,0.999,"Maui Nui","20",13.7569744190531
"220",1000,"interpolated",0,14.792,14.523,15.062,0.999,0.999,0.999,"Maui Nui","20",13.9816212777176
"221",1,"interpolated",0,1,1,1,0.196,0.191,0.201,"Maui Nui","21",1.01907652695323
"222",100,"interpolated",0,14.473,14.215,14.73,0.955,0.953,0.957,"Maui Nui","21",8.52406495953037
"223",200,"interpolated",0,17.672,17.32,18.023,0.977,0.975,0.978,"Maui Nui","21",10.3193449282619
"224",300,"interpolated",0,19.585,19.178,19.991,0.984,0.983,0.985,"Maui Nui","21",11.2148972883983
"225",400,"interpolated",0,20.928,20.483,21.372,0.988,0.988,0.989,"Maui Nui","21",12.0736654208794
"226",500,"interpolated",0,21.938,21.466,22.41,0.991,0.991,0.992,"Maui Nui","21",12.4512670505219
"227",600,"interpolated",0,22.727,22.236,23.219,0.993,0.993,0.993,"Maui Nui","21",13.0201767734012
"228",700,"interpolated",0,23.359,22.855,23.863,0.994,0.994,0.995,"Maui Nui","21",13.2149384140065
"229",800,"interpolated",0,23.874,23.362,24.385,0.995,0.995,0.996,"Maui Nui","21",13.597802941289
"230",900,"interpolated",0,24.298,23.784,24.812,0.996,0.996,0.996,"Maui Nui","21",13.7569744190531
"231",1000,"interpolated",0,24.653,24.14,25.166,0.997,0.996,0.997,"Maui Nui","21",13.9816212777176
"232",1,"interpolated",0,1,1,1,0.317,0.308,0.325,"Maui Nui","22",1.01907652695323
"233",100,"interpolated",0,9.777,9.609,9.946,0.975,0.974,0.976,"Maui Nui","22",8.52406495953037
"234",200,"interpolated",0,11.549,11.342,11.755,0.987,0.987,0.988,"Maui Nui","22",10.3193449282619
"235",300,"interpolated",0,12.52,12.285,12.755,0.993,0.992,0.993,"Maui Nui","22",11.2148972883983
"236",400,"interpolated",0,13.135,12.871,13.399,0.995,0.994,0.995,"Maui Nui","22",12.0736654208794
"237",500,"interpolated",0,13.569,13.279,13.858,0.996,0.996,0.997,"Maui Nui","22",12.4512670505219
"238",600,"interpolated",0,13.899,13.589,14.209,0.997,0.997,0.997,"Maui Nui","22",13.0201767734012
"239",700,"interpolated",0,14.165,13.84,14.49,0.998,0.997,0.998,"Maui Nui","22",13.2149384140065
"240",800,"interpolated",0,14.386,14.05,14.722,0.998,0.998,0.998,"Maui Nui","22",13.597802941289
"241",900,"interpolated",0,14.575,14.232,14.918,0.998,0.998,0.998,"Maui Nui","22",13.7569744190531
"242",1000,"interpolated",0,14.738,14.391,15.085,0.998,0.998,0.999,"Maui Nui","22",13.9816212777176
"243",1,"interpolated",0,1,1,1,0.323,0.32,0.327,"Maui Nui","23",1.01907652695323
"244",100,"interpolated",0,7.26,7.169,7.351,0.988,0.987,0.988,"Maui Nui","23",8.52406495953037
"245",200,"interpolated",0,8.152,8.009,8.295,0.993,0.993,0.994,"Maui Nui","23",10.3193449282619
"246",300,"interpolated",0,8.733,8.55,8.915,0.995,0.995,0.995,"Maui Nui","23",11.2148972883983
"247",400,"interpolated",0,9.172,8.96,9.384,0.996,0.996,0.996,"Maui Nui","23",12.0736654208794
"248",500,"interpolated",0,9.523,9.29,9.756,0.997,0.997,0.997,"Maui Nui","23",12.4512670505219
"249",600,"interpolated",0,9.812,9.563,10.06,0.997,0.997,0.998,"Maui Nui","23",13.0201767734012
"250",700,"interpolated",0,10.054,9.795,10.313,0.998,0.998,0.998,"Maui Nui","23",13.2149384140065
"251",800,"interpolated",0,10.259,9.993,10.526,0.998,0.998,0.998,"Maui Nui","23",13.597802941289
"252",900,"interpolated",0,10.435,10.164,10.707,0.998,0.998,0.999,"Maui Nui","23",13.7569744190531
"253",1000,"interpolated",0,10.587,10.312,10.862,0.999,0.998,0.999,"Maui Nui","23",13.9816212777176
"254",1,"interpolated",0,1,1,1,0.324,0.316,0.332,"Maui Nui","24",1.01907652695323
"255",100,"interpolated",0,11.498,11.256,11.739,0.965,0.964,0.967,"Maui Nui","24",8.52406495953037
