"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"158",300,"interpolated",0,12.322,12.005,12.639,0.989,0.989,0.99,"Maui Nui","15",11.0360684996406
"159",400,"interpolated",0,13.215,12.882,13.548,0.992,0.992,0.993,"Maui Nui","15",11.897340665704
"160",500,"interpolated",0,13.864,13.531,14.197,0.994,0.994,0.995,"Maui Nui","15",12.2840558128155
"161",600,"interpolated",0,14.349,14.028,14.671,0.996,0.996,0.996,"Maui Nui","15",12.8441970205628
"162",700,"interpolated",0,14.718,14.414,15.022,0.997,0.997,0.997,"Maui Nui","15",13.0407000574376
"163",800,"interpolated",0,15.001,14.719,15.283,0.998,0.997,0.998,"Maui Nui","15",13.4124407545958
"164",900,"interpolated",0,15.22,14.961,15.478,0.998,0.998,0.998,"Maui Nui","15",13.567588362846
"165",1000,"interpolated",0,15.389,15.155,15.623,0.999,0.998,0.999,"Maui Nui","15",13.7833113214636
"166",1,"interpolated",0,1,1,1,0.265,0.26,0.27,"Maui Nui","16",1.02001246810175
"167",100,"interpolated",0,8.692,8.56,8.824,0.984,0.983,0.985,"Maui Nui","16",8.31903446661933
"168",200,"interpolated",0,9.896,9.702,10.09,0.99,0.99,0.991,"Maui Nui","16",10.1229805702121
"169",300,"interpolated",0,10.714,10.484,10.944,0.993,0.992,0.993,"Maui Nui","16",11.0360684996406
"170",400,"interpolated",0,11.337,11.083,11.592,0.994,0.994,0.995,"Maui Nui","16",11.897340665704
"171",500,"interpolated",0,11.833,11.562,12.105,0.996,0.995,0.996,"Maui Nui","16",12.2840558128155
"172",600,"interpolated",0,12.239,11.956,12.523,0.996,0.996,0.997,"Maui Nui","16",12.8441970205628
"173",700,"interpolated",0,12.578,12.285,12.87,0.997,0.997,0.997,"Maui Nui","16",13.0407000574376
"174",800,"interpolated",0,12.863,12.565,13.162,0.997,0.997,0.998,"Maui Nui","16",13.4124407545958
"175",900,"interpolated",0,13.107,12.803,13.41,0.998,0.998,0.998,"Maui Nui","16",13.567588362846
"176",1000,"interpolated",0,13.316,13.009,13.622,0.998,0.998,0.998,"Maui Nui","16",13.7833113214636
"177",1,"interpolated",0,1,1,1,0.311,0.305,0.317,"Maui Nui","17",1.02001246810175
"178",100,"interpolated",0,7.609,7.487,7.73,0.986,0.986,0.987,"Maui Nui","17",8.31903446661933
"179",200,"interpolated",0,8.479,8.327,8.632,0.994,0.994,0.995,"Maui Nui","17",10.1229805702121
"180",300,"interpolated",0,8.915,8.747,9.082,0.997,0.996,0.997,"Maui Nui","17",11.0360684996406
"181",400,"interpolated",0,9.18,9,9.361,0.998,0.998,0.998,"Maui Nui","17",11.897340665704
"182",500,"interpolated",0,9.363,9.169,9.557,0.998,0.998,0.999,"Maui Nui","17",12.2840558128155
"183",600,"interpolated",0,9.5,9.293,9.708,0.999,0.999,0.999,"Maui Nui","17",12.8441970205628
"184",700,"interpolated",0,9.611,9.389,9.834,0.999,0.999,0.999,"Maui Nui","17",13.0407000574376
"185",800,"interpolated",0,9.706,9.47,9.942,0.999,0.999,0.999,"Maui Nui","17",13.4124407545958
"186",900,"interpolated",0,9.789,9.54,10.037,0.999,0.999,0.999,"Maui Nui","17",13.567588362846
"187",1000,"interpolated",0,9.864,9.604,10.124,0.999,0.999,0.999,"Maui Nui","17",13.7833113214636
"188",1,"interpolated",0,1,1,1,0.354,0.349,0.359,"Maui Nui","18",1.02001246810175
