"geo_entity2","PlotID","beta_S","beta_ENS_PIE","Iteration"
"Hawai'i Island",373,3.66666666666667,2.20832455821235,11
"Kaua'i Island",409,9,2.4036504248677,11
"Hawai'i Island",423,1.83333333333333,1.48062771731762,11
"Hawai'i Island",426,1.83333333333333,1.43088096274918,11
"O'ahu Island",437,18,2.36625202315307,11
"Kaua'i Island",460,13.5,4.75654059759334,11
"Hawai'i Island",9,9,3.08767546395167,12
"Maui Nui",45,1.875,0.789298404303878,12
"Hawai'i Island",99,2.25,1.03437128042381,12
"O'ahu Island",141,2.14285714285714,1.84101712575362,12
"Maui Nui",148,3,1.37521141250438,12
"Maui Nui",153,5,2.53480929203376,12
"Maui Nui",155,2.5,1.32690311801498,12
"Maui Nui",164,2.14285714285714,1.16145912046311,12
"Maui Nui",169,3,1.07749503816861,12
"O'ahu Island",173,3,3.56318259422464,12
"Kaua'i Island",194,2.13333333333333,0.399204270212805,12
"Kaua'i Island",218,32,3.91878666079003,12
"Maui Nui",219,3.75,1.33399394625704,12
"O'ahu Island",229,15,4.43769738236332,12
"Hawai'i Island",234,3,1.14437275347629,12
"Hawai'i Island",249,9,3.08767546395167,12
"Hawai'i Island",252,9,3.08767546395167,12
"Kaua'i Island",282,16,3.57872666129999,12
"O'ahu Island",285,5,3.59407261957029,12
"Kaua'i Island",287,2,0.621168091814978,12
"O'ahu Island",288,7.5,3.97201308915236,12
"Kaua'i Island",295,10.6666666666667,1.65891703454931,12
"O'ahu Island",300,3.75,1.52955750619057,12
"Kaua'i Island",308,10.6666666666667,1.68856814998365,12
"O'ahu Island",314,7.5,2.38321477038234,12
"Hawai'i Island",387,3,1.72504504158521,12
"Hawai'i Island",394,3,2.44731739944783,12
"Kaua'i Island",409,10.6666666666667,1.91125155724535,12
"Maui Nui",31,4.2,1.96285307659355,13
"Maui Nui",36,5.25,1.94870833708686,13
"Maui Nui",37,1.90909090909091,0.792336384724991,13
"Maui Nui",38,7,2.18756539140957,13
"Maui Nui",42,3,1.06043696172608,13
"O'ahu Island",50,3.4,1.32070354963524,13
"Hawai'i Island",119,1.16666666666667,0.619657939410012,13
"O'ahu Island",141,2.42857142857143,0.847816642912727,13
"Maui Nui",165,4.2,1.06376869488227,13
"Maui Nui",175,2.625,1.10410799574782,13
"Kaua'i Island",194,1.66666666666667,0.466187071385243,13
"Kaua'i Island",195,2.77777777777778,1.27027226707545,13
"Kaua'i Island",218,25,4.5763229832271,13
"Hawai'i Island",221,7,1.38658685166474,13
"O'ahu Island",229,17,2.04362775573733,13
"Hawai'i Island",244,7,1.38658685166474,13
"Hawai'i Island",251,7,1.38658685166474,13
"O'ahu Island",285,5.66666666666667,1.65512560425602,13
"O'ahu Island",296,3.4,1.1119739259159,13
"Kaua'i Island",304,25,4.5763229832271,13
"Kaua'i Island",308,8.33333333333333,1.97189433934573,13
"Hawai'i Island",315,7,1.38658685166474,13
"Hawai'i Island",391,2.33333333333333,1.19001084751731,13
"Kaua'i Island",409,8.33333333333333,2.23194197215808,13
"O'ahu Island",437,17,2.04362775573733,13
"Kaua'i Island",460,12.5,4.41674982859739,13
"O'ahu Island",461,17,2.04362775573733,13
"Hawai'i Island",505,7,1.38658685166474,13
"O'ahu Island",1,3.28571428571429,1.75743237845851,14
"Maui Nui",26,4,1.38377487587132,14
"Maui Nui",37,1.09090909090909,0.799014338829049,14
"Maui Nui",40,2,1.73302159905441,14
"Maui Nui",48,3,1.16736416002386,14
"Hawai'i Island",73,1.8,0.979801457127856,14
"Hawai'i Island",98,9,2.18030296999387,14
"O'ahu Island",141,3.28571428571429,2.10603361209935,14
"O'ahu Island",143,1.91666666666667,2.09290254404493,14
"Maui Nui",148,2.4,1.29003652714044,14
"Maui Nui",156,2,1.32059837125971,14
"Maui Nui",168,3,1.90274480545137,14
"O'ahu Island",173,4.6,4.07610673714543,14
"Kaua'i Island",194,2.33333333333333,0.409271532441357,14
"Kaua'i Island",195,3.88888888888889,1.11518810639455,14
"Hawai'i Island",212,9,2.18030296999387,14
"Kaua'i Island",218,35,4.01761188856351,14
"Hawai'i Island",256,9,2.18030296999387,14
"Kaua'i Island",287,2.1875,0.636832909390645,14
"O'ahu Island",288,11.5,4.54378884174103,14
"Kaua'i Island",295,11.6666666666667,1.70075214015407,14
"O'ahu Island",300,5.75,1.74973902991672,14
"Kaua'i Island",304,35,4.01761188856351,14
"O'ahu Island",319,5.75,1.71434137559861,14
"Hawai'i Island",321,2.25,1.88695822327396,14
