"PlotID","Long_Dec","Lat_Dec","HFP","HII","SubstrateAge_range","SubstrateAge_code","MAT","MAP","PET","AridInd","Elev_m"
162,-156.907810643895,21.1436481307824,28.9984130859375,18.6656093597412,1400000,1500000,16.011510848999,2629.85498046875,2155.583984375,1.22001972529558,1071.57092285156
163,-156.899934908958,21.1314490696631,29.2610607147217,18.8407077789307,1400000,1500000,14.8639898300171,2741.6201171875,2445.18896484375,1.12123036567143,1202.15173339844
164,-156.904268705022,21.1442906626711,28.9984130859375,18.6656093597412,1400000,1500000,16.1174392700195,2559.10693359375,2160.82397460938,1.18431994630954,1076.98779296875
165,-156.899266082804,21.1379250174543,28,18,1400000,1500000,15.306170463562,2621.11303710938,2188.3740234375,1.19774453957013,1179.775390625
166,-156.902916678906,21.141862640184,28.9984130859375,18.6656093597412,1400000,1500000,15.6808996200562,2597.5439453125,2224.3369140625,1.16778349938381,1121.51782226562
167,-156.904525200004,21.1370058230144,30.274227142334,19.5161514282227,1400000,1500000,15.5031204223633,2734.93798828125,2163.40600585938,1.26418156410491,1138.86804199219
168,-156.910959815449,21.1538469285018,28.3884449005127,18.2589626312256,1400000,1500000,16.9017906188965,2429.998046875,2377.09301757812,1.02225618808589,975.54052734375
169,-156.906413699527,21.1464665903276,28.9984130859375,18.6656093597412,1400000,1500000,16.1827297210693,2539.67504882812,2127.73608398438,1.19360435156618,1042.12341308594
170,-156.912148549033,21.1507729944598,30.302885055542,19.5352573394775,1400000,1500000,16.6131801605225,2501.55590820312,2430.81811523438,1.02910040554882,1006.48913574219
171,-156.906632198215,21.1357133639375,30.274227142334,19.5161514282227,1400000,1500000,15.5031204223633,2734.93798828125,2163.40600585938,1.26418156410491,1138.86804199219
172,-156.906759013172,21.1266839152138,33.3269271850586,21.5512866973877,1400000,1500000,15.8999996185303,2915.26391601562,2464.69702148438,1.18280822778773,1164.94665527344
173,-158.223280555556,21.5472722222222,34,22,3305000,3e+06,21.1936893463135,1046.48706054688,3821.68603515625,0.273828632420373,448.977478027344
174,-156.929944,21.116536,28,18,1400000,1500000,17.5132293701172,2043.18798828125,2509.75708007812,0.814097907920893,943.4892578125
175,-156.929944,21.119022,28,18,1400000,1500000,17.2777996063232,2137.82495117188,2592.623046875,0.824579937970037,967.635925292969
176,-156.959069444444,21.1125694444444,39.9163856506348,26.0225372314453,1400000,1500000,19.5113105773926,1505.38598632812,2787.17602539062,0.54011155829928,646.171936035156
177,-156.339097222222,20.6202666666667,34,22,4000,4000,19.5684509277344,649.819519042969,2208.92993164062,0.294178420843042,649.109497070312
178,-156.976552777778,20.8759166666667,26,17,1380000,1500000,20.4038791656494,655.501403808594,3274.82690429688,0.200163679780606,525.825500488281
