"PlotIDn","Long_Dec","Lat_Dec","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET","SubstrateAge_range","SubstrateAge_code"
41,-156.110406403513,20.6920925261221,15.2654399871826,4923.5302734375,30.6642894744873,132.563110351562,1449.76135253906,18,12,1140.27526855469,545000,460000
42,-156.09867188485,20.7113488341472,16.2944717407227,5082.20654296875,29.7493267059326,135.658309936523,1137.84997558594,18,12,1170.78845214844,21500,20000
43,-156.100745059114,20.7183618258824,14.7510251998901,5261.39013671875,29.9861354827881,130.117126464844,1435.18444824219,18,12,1136.26428222656,21500,20000
44,-156.080541561721,20.6816498409796,19.2267379760742,4183.55859375,30.2886390686035,131.381362915039,697.228210449219,25,16,1228.76989746094,21500,20000
45,-156.090071158121,20.7055435416876,17.5408668518066,4629.04833984375,29.9616451263428,136.446472167969,889.329528808594,18,12,1196.32727050781,21500,20000
46,-156.109147474883,20.7063706079119,15.101393699646,5179.6142578125,30.1449146270752,131.991790771484,1409.28540039062,18,12,1143.849609375,21500,20000
47,-156.103513612238,20.7110241940671,15.3089647293091,5214.3828125,29.9498615264893,133.138275146484,1319.6806640625,18,12,1151.33508300781,21500,20000
48,-156.094607065711,20.7292804288692,14.2202701568604,5398.0654296875,29.9120693206787,127.096687316895,1684.25317382812,18,12,1112.96264648438,21500,20000
49,-156.099811403135,20.6988653456357,16.220552444458,4954.8154296875,30.1583728790283,135.382125854492,1176.279296875,18,12,1166.31677246094,21500,20000
50,-157.743028,21.316545,20.281530380249,1566.4609375,42.5984764099121,136.165542602539,520.615417480469,59,38,1279.30944824219,2400000,3e+06
51,-155.411498170078,19.4895190952694,13.4730634689331,4119.33642578125,21.4125537872314,121.647369384766,2274.70825195312,9,6,1014.90368652344,2250,2250
52,-155.545551877565,19.3107616433695,13.8899250030518,3439.88891601562,19.8680229187012,117.90111541748,2043.45825195312,9,6,1051.56616210938,1125,1125
53,-155.554061586832,19.3423661346721,13.2066488265991,3250.70166015625,19.9098834991455,121.030670166016,2353.45874023438,9,6,1006.62286376953,2250,2250
54,-155.7421494549,19.4060048852486,13.4571018218994,1067.90307617188,18.6566009521484,119.05834197998,2215.24047851562,12,8,1032.06518554688,2250,2250
55,-155.406926008077,19.484929014037,13.6529474258423,4235.931640625,21.4455585479736,120.685928344727,2197.064453125,9,6,1026.13452148438,2250,2250
