"Family","SPP_CODE3","SPP_CODE3A","Accepted_name_species","Genus","Species","Native_Status_USDA","Native_Status_HawFlora","Native_Status_HawFlora_simple","Is_Angio","Order","Monocot"
28,"LEULEU","LEULEU","Leucaena leucocephala","Leucaena","leucocephala","L48 (I), VI (I)","Naturalized","alien",1,NA,0
28,"PITDUL","PITDUL","Pithecellobium dulce","Pithecellobium","dulce",NA,"Naturalized","alien",1,NA,0
28,"FALMOL","FALMOL","Falcataria moluccana","Falcataria","moluccana",NA,"Naturalized","alien",1,NA,0
28,"PROPAL","PROPAL","Prosopis pallida","Prosopis","pallida",NA,"Naturalized","alien",1,NA,0
28,"ACAKOA","ACAKOA","Acacia koa","Acacia","koa","HI (N)","Endemic","native",1,NA,0
28,"SOPCHR","SOPCHR","Sophora chrysophylla","Sophora","chrysophylla","HI (N)","Endemic","native",1,NA,0
28,"SAMSAM","SAMSAM","Albizia saman","Albizia","saman",NA,"Naturalized","alien",1,NA,0
28,"SENGAU","SENGAU","Senna gaudichaudii","Senna","gaudichaudii","HI (N)","Indigenous","native",1,NA,0
28,"ACAKO2","ACAKO2","Acacia koaia","Acacia","koaia","HI (N)","Endemic","native",1,NA,0
28,"ACACON","ACACON","Acacia confusa","Acacia","confusa",NA,"Naturalized","alien",1,NA,0
29,"LABTIN","LABTIN","Labordia tinifolia","Labordia","tinifolia",NA,"Endemic","native",1,"Gentianales",0
30,"HELPOP","HELPOP","Heliocarpus popayanensis","Heliocarpus","popayanensis",NA,"Naturalized","alien",1,"Malvales",0
30,"MELUMB","MELUMB","Melochia umbellata","Melochia","umbellata",NA,"Naturalized","alien",1,"Malvales",0
30,"HIBTIL","HIBTIL","Hibiscus tilliaceus","Hibiscus","tilliaceus",NA,"Indigenous","native",1,"Malvales",0
30,"M7","ME2SPP","Melochia spp1","Melochia","spp1",NA,NA,"alien",1,"Malvales",0
30,"SIDFAL","SIDFAL","Sida fallax","Sida","fallax",NA,"Indigenous","native",1,"Malvales",0
31,"MELCAN","MELCAN","Melastoma malabathricum","Melastoma","malabathricum",NA,"Naturalized","alien",1,"Myrtales",0
31,"CLIHIR","CLIHIR","Clidemia hirta","Clidemia","hirta",NA,"Naturalized","alien",1,"Myrtales",0
31,"M2","M2","melestome",NA,"na",NA,NA,"uncertain",1,"Myrtales",0
31,"TIBHER","TIBHER","Tibouchina herbacea","Tibouchina","herbacea",NA,"Naturalized","alien",1,"Myrtales",0
31,"MELSEP","MELSEP","Melastoma septemnervium","Melastoma","septemnervium",NA,"Naturalized","alien",1,"Myrtales",0
31,"TETBIC","TETBIC","Tetrazygia bicolor","Tetrazygia","bicolor",NA,"Naturalized","alien",1,"Myrtales",0
32,"SWIMAC","SWIMAC","Swietenia macrophylla","Swietenia","macrophylla","HI (I)","Naturalized","alien",1,"Sapindales",0
32,"MELAZE","MELAZE","Melia azedarach","Melia","azedarach","L48 (I), HI (I), PR (I), VI (I)","Naturalized","alien",1,"Sapindales",0
32,"TOOCIL","TOOCIL","Toona ciliata","Toona","ciliata",NA,"Naturalized","alien",1,"Sapindales",0
33,"STRPEN","STRPEN","Streblus sandwicensis","Streblus","sandwicensis",NA,"Indigenous","native",1,"Rosales",0
33,"M24","M24","Moraceae unknown",NA,"na",NA,NA,"uncertain",1,"Rosales",0
33,"FICMIC","FICMIC","Ficus microcarpa","Ficus","microcarpa",NA,"Naturalized","alien",1,"Rosales",0
34,"MYRFAY","MYRFAY","Myrica faya","Myrica","faya",NA,"Naturalized","alien",1,"Fagales",0
35,"PSIGUA","PSIGUA","Psidium guajava","Psidium","guajava","L48 (I), HI (I), PR (I), VI (I)","Naturalized","alien",1,"Myrtales",0
35,"PSICAT","PSICAT","Psidium cattleianum","Psidium","cattleianum",NA,"Naturalized","alien",1,"Myrtales",0
35,"SYZJAM","SYZJAM","Syzygium jambos","Syzygium","jambos",NA,"Naturalized","alien",1,"Myrtales",0
35,"M23","EUCSPP","Eucalyptus spp1","Eucalyptus","spp1",NA,NA,"alien",1,"Myrtales",0
35,"M65","SYZSPP","Syzygium spp1","Syzygium","spp1",NA,NA,"uncertain",1,"Myrtales",0
35,"EUCDEG","EUCDEG","Eucalyptus deglupta","Eucalyptus","deglupta",NA,"Naturalized","alien",1,"Myrtales",0
35,"LEPSCO","LEPSCO","Leptospermum scoparium","Leptospermum","scoparium",NA,"Naturalized","alien",1,"Myrtales",0
35,"RHOTOM","RHOTOM","Rhodomyrtus tomentosa","Rhodomyrtus","tomentosa",NA,"Naturalized","alien",1,"Myrtales",0
35,"EUCSAL","EUCSAL","Eucalyptus saligna","Eucalyptus","saligna","HI (I)","Naturalized","alien",1,"Myrtales",0
35,"SYZMAL","SYZMAL","Syzygium malaccense","Syzygium","malaccense",NA,"Polynesian_Intro","alien",1,"Myrtales",0
35,"M54","ME3SPP","Melaleuca spp1","Melaleuca","spp1",NA,NA,"alien",1,"Myrtales",0
