"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-155.3,19.85,301,31984945,14.9390735626221,4516.6806640625,24.2087841033936,125.533706665039,1595.16650390625,14,9,1106.54357910156
-155.34,19.44,302,32664395,16.4363288879395,4081.58959960938,22.8624362945557,128.844131469727,1359.46362304688,15,10,1155.57238769531
-155.19,19.79,303,32080079,19.0905723571777,4226.26611328125,23.8601779937744,125.287406921387,791.802368164062,28,18,1244.32250976562
-159.72,22.07,304,28356237,19.647891998291,1107.71765136719,32.170539855957,144.187194824219,577.293762207031,28,18,1343.35388183594
-155.78,19.19,305,33072024,15.5144815444946,1090.71337890625,19.0922565460205,122.680068969727,1504.26574707031,18,12,1152.02233886719
-155.29,19.92,306,31876233,16.2325248718262,4254.3125,24.7634143829346,129.215728759766,1287.84411621094,15,10,1154.07861328125
-155.41,19.4,307,32732333,16.0698757171631,4046.09375,22.3388042449951,128.053405761719,1427.26000976562,9,6,1144.78210449219
-159.65,22.13,308,28261120,15.9864835739136,2712.10961914062,28.7811031341553,154.963790893555,1137.73010253906,34,22,1166.55822753906
-155.48,19.33,309,32841039,16.6072406768799,3675.99291992188,21.6656646728516,128.499160766602,1289.29956054688,9,6,1172.37329101562
-155.55,19.26,310,32963334,15.9867601394653,3347.76586914062,20.8981876373291,125.823661804199,1421.73901367188,15,10,1156.80798339844
-155.5,19.31,311,32868215,15.8568696975708,3712.19384765625,21.3053684234619,126.375007629395,1457.59497070312,12.6803665161133,8.45357799530029,1145.61950683594
-155.21,19.86,312,31971364,18.4668655395508,4212.888671875,24.2045402526855,126.292778015137,886.232971191406,28,18,1222.36450195312
-155.5,19.37,313,32773092,14.1533174514771,3779.00512695312,20.4167041778564,119.731369018555,1951.72583007812,9,6,1064.41235351562
-157.95,21.5,314,29280464,20.680419921875,1551.810546875,40.9523849487305,137.246719360352,467.740478515625,48.5026168823242,31.3015689849854,1308.44665527344
-155.89,19.69,315,32256669,14.0812788009644,1401.599609375,22.6060829162598,122.131240844727,1933.88806152344,18,12,1079.4677734375
-155.24,19.71,316,32215965,18.5509548187256,4330.12109375,23.680570602417,127.693519592285,908.794494628906,17,11,1225.49560546875
-155.26,19.94,317,31835469,19.1496696472168,3961.00830078125,24.624267578125,125.572380065918,762.737121582031,15,10,1240.56188964844
-155.23,19.91,318,31889828,19.0468406677246,4065.54370117188,24.4421520233154,125.371101379395,786.545471191406,15,10,1238.61853027344
-157.99,21.64,319,29049446,21.2598056793213,3407.95825195312,37.9209098815918,137.635513305664,342.698516845703,43,28,1322.17150878906
-158.18,21.54,320,29226085,19.8555698394775,3575.71044921875,36.7434005737305,139.597305297852,544.100708007812,28,18,1296.39221191406
-155.8,19.23,321,33004077,15.4319658279419,1059.00122070312,18.3954811096191,123.043022155762,1531.47985839844,20,13,1147.52075195312
-155.21,19.7,322,32229557,19.6238059997559,4228.86962890625,23.5179824829102,125.802978515625,735.108093261719,20.6303577423096,13.420238494873,1256.15051269531
-155.15,19.61,323,32379042,20.6437797546387,4175.15966796875,22.9610347747803,123.85417175293,580.774658203125,26,17,1287.09545898438
-155.8,19.2,324,33058433,16.2793426513672,1008.58892822266,18.6725902557373,125.380584716797,1335.02319335938,19.7150745391846,12.8575372695923,1179.466796875
-155.19,19.7,325,32229559,20.375020980835,4163.4716796875,23.4379138946533,124.908081054688,613.767395019531,23,15,1277.45043945312
-155.29,19.45,326,32650810,16.8754463195801,4092.67993164062,22.8755950927734,129.106002807617,1247.43347167969,17,11,1177.74072265625
-159.69,22.1,327,28301884,17.3279628753662,1804.85693359375,31.6476917266846,157.104721069336,937.983642578125,34,22,1227.19372558594
-155.16,19.69,328,32256740,21.6230506896973,4040.529296875,23.2226657867432,123.22135925293,440.310638427734,34,22,1308.96911621094
-155.17,19.87,329,31957779,21.0667953491211,3942.74877929688,23.9921894073486,122.613403320312,477.378234863281,15.2231693267822,10.1373348236084,1288.6591796875
-155.19,19.66,330,32297504,20.0319347381592,4226.92138671875,23.2700538635254,125.286338806152,671.509643554688,14,9,1268.0078125
-155.22,19.74,331,32175199,18.5037307739258,4315.3544921875,23.783878326416,127.376419067383,917.253173828125,17,11,1224.34936523438
-155.34,19.68,332,32270311,15.3321580886841,4539.1708984375,23.4992752075195,127.429161071777,1567.58447265625,17,11,1110.5654296875
-155.31,19.89,333,31916998,14.8106918334961,4374.48583984375,24.3671207427979,125.11205291748,1609.00769042969,9,6,1102.35327148438
-155.86,19.73,334,32188727,15.4970550537109,2360.0732421875,21.530086517334,130.418579101562,1490.56640625,12.5721673965454,8.38144493103027,1141.33227539062
-155.17,19.72,335,32202382,20.779670715332,4111.71630859375,23.4766044616699,124.218040466309,547.570251464844,17,11,1286.41918945312
-155.45,19.36,336,32786686,16.3865203857422,3803.02954101562,22.0658912658691,128.50407409668,1368.01647949219,9,6,1160.19018554688
-159.68,22.06,337,28369830,17.9870548248291,1945.32385253906,31.2257785797119,155.512252807617,819.509887695312,34,22,1261.37463378906
-158.06,21.56,338,29185330,22.4823036193848,851.97265625,41.3695068359375,137.257308959961,237.570846557617,71,46,1360.93774414062
-159.47,22.15,339,28220370,21.8581638336182,1800.79821777344,25.070255279541,143.24169921875,237.869033813477,28,18,1357.87634277344
-155.75,20.21,340,31400571,23.1186466217041,1909.197265625,28.5840396881104,129.696166992188,169.98176574707,28,18,1316.20129394531
-159.64,22.17,341,28193176,21.2665824890137,1555.47717285156,28.1482849121094,144.609664916992,233.954193115234,34,22,1380.78955078125
-158.11,21.45,342,29361983,21.2731781005859,1844.36120605469,40.5029182434082,138.059539794922,360.380493164062,48,31,1346.13098144531
