"PlotID","Long_Dec","Lat_Dec","newMAT","newMAP","newPET","AridInd"
45,-156.090071158121,20.7055435416876,18.5685592651367,2589.02075195312,1497.14123535156,2.0642103515625
20,-156.088305797246,20.6904834609909,18.1884552001953,2557.70678710938,1475.04455566406,1.9099796875
35,-156.084016110217,20.690067833358,19.6385375976562,2395.04565429688,1558.16101074219,1.9151373046875
37,-156.082058748661,20.6890868246579,19.6385375976562,2395.04565429688,1558.16101074219,1.9151373046875
34,-156.081391960053,20.6888408184836,19.6385375976562,2395.04565429688,1558.16101074219,1.9151373046875
44,-156.080541561721,20.6816498409796,20.0570617675781,2396.76416015625,1581.97900390625,1.6981525390625
349,-156.07,20.77,20.086882019043,2866.82177734375,1576.63732910156,2.09817734375
388,-156.04,20.72,20.1894134521484,2714.373046875,1561.00146484375,3.0535111328125
358,-156.02,20.69,23.7004028320313,2253.97583007812,1874.06506347656,1.3563947265625
356,-156.02,20.76,22.5931869506836,2699.67700195312,1736.74963378906,2.0594353515625
357,-156,20.72,24.1286804199219,2309.7607421875,1916.75366210938,1.26130791015625
517,-155.96,19.61,23.1094253540039,749.261291503906,1880.13049316406,0.7991978515625
518,-155.95,19.54,24.1239028930664,760.879028320312,2025.91528320312,0.44550126953125
426,-155.95,19.7,19.3331726074219,736.191955566406,1492.13098144531,2.2430205078125
529,-155.94,19.53,23.5860275268555,772.4892578125,1945.771484375,0.571429443359375
182,-155.936438888889,19.7684166666667,21.2693740844727,738.622497558594,1676.98120117188,1.2068533203125
503,-155.93,19.66,19.5797805786133,752.876220703125,1507.05590820312,2.1926685546875
531,-155.92,19.54,21.5870803833008,802.211242675781,1701.00170898438,0.96987578125
488,-155.92,19.65,18.9846862792969,766.36083984375,1469.56884765625,2.2884396484375
489,-155.91,19.74,16.8894561767578,1082.13293457031,1362.57897949219,1.89282421875
516,-155.89,19.45,23.2012832641602,821.684265136719,1860.5185546875,0.88300546875
416,-155.89,19.58,18.4285064697266,826.193237304688,1438.90795898438,1.48429287109375
315,-155.89,19.69,12.5909072875977,924.364562988281,1235.11169433594,1.311387109375
443,-155.87,19.11,23.3763900756836,701.877685546875,1808.37951660156,1.13273525390625
423,-155.86,19.47,19.1465911865234,881.58349609375,1476.47204589844,1.57688427734375
501,-155.86,19.6,17.0245468139648,819.144165039062,1372.04248046875,1.6611517578125
334,-155.86,19.73,15.6840698242187,1177.72021484375,1320.31982421875,1.4261505859375
207,-155.85829,19.316406,21.0737182617187,925.473876953125,1615.70959472656,1.210002734375
472,-155.85,19.23,19.1749359130859,910.870483398438,1451.77502441406,1.6799234375
429,-155.85,19.42,19.5387268066406,926.213256835938,1485.68420410156,1.4437357421875
527,-155.84,19.1,22.3743133544922,715.766723632812,1694.60412597656,1.283705859375
371,-155.83,19.27,17.3884826660156,1009.38830566406,1345.01123046875,1.7772107421875
400,-155.83,19.4,17.8890914916992,997.244689941406,1379.32556152344,1.716844921875
417,-155.83,19.44,17.3858245849609,967.049011230469,1367.91247558594,1.42756240234375
